Entity,Code,Year,spirits,beer,wine,total_consumpssion_2015
Grenada,GRD,2006,4.39,4.16,0.32,10.4
Guatemala,GTM,2006,1.22,1.12,0.03,3.9
Guinea,GIN,2006,0.01,0.12,0.01,0.7
Guinea-Bissau,GNB,2006,0.52,0.38,0.41,4.3
Guyana,GUY,2006,5.55,1.45,0.01,8.6
Haiti,HTI,2006,6.15,0.02,0.01,5.9
Honduras,HND,2006,1.93,1.28,0.02,4
Hungary,HUN,2006,4.25,4.38,4.53,12.4
Iceland,ISL,2006,1.36,3.78,1.97,6.9
India,IND,2006,1.25,0.11,0.02,4.6
Indonesia,IDN,2006,0,0.06,0,0.6
Iran,IRN,2006,0.02,0,0,1
Iraq,IRQ,2006,0.03,0,0,0.5
Ireland,IRL,2006,2.58,6.87,2.77,10.9
Israel,ISR,2006,1.21,0.78,0.18,3.1
Italy,ITA,2006,0.98,1.76,5.7,6.1
Jamaica,JAM,2006,1.6,1.56,0.15,5.1
Japan,JPN,2006,3.37,1.67,0.26,7.5
Jordan,JOR,2006,0.39,0.18,0.02,0.7
Kazakhstan,KAZ,2006,4.51,2.22,0.35,8.2
Kenya,KEN,2006,0.44,0.81,0.02,4
Kiribati,KIR,2006,0.03,0.63,0.1,2.9
Kuwait,KWT,2006,0.01,0,0,0.1
Kyrgyzstan,KGZ,2006,1.77,0.61,0.09,3.9
Laos,LAO,2006,2.2,1.49,0,7.5
Latvia,LVA,2006,4.48,4.09,1.06,10.6
Lebanon,LBN,2006,0.76,0.38,0.66,2.2
Lesotho,LSO,2006,0.54,1.23,0,6.4
Liberia,LBR,2006,3.75,0.3,0,5.2
Libya,LBY,2006,0,0.01,0,0
Lithuania,LTU,2006,4.5,6,1.4,16.2
Luxembourg,LUX,2006,2.46,4.46,5.06,11.2
Macedonia,MKD,2006,0.5,0.89,0.36,5.7
Madagascar,MDG,2006,0.17,0.34,0.17,1.9
Malawi,MWI,2006,0.22,0.14,0.01,2.5
Malaysia,MYS,2006,0.08,0.34,0,1.7
Maldives,MDV,2006,0.79,0.53,0.29,1
Mali,MLI,2006,0.01,0.07,0,1
Malta,MLT,2006,1.49,2.15,4.9,7.2
Mauritania,MRT,2006,0.01,0,0,0.1
Mauritius,MUS,2006,1.61,1.81,0.3,4
Mexico,MEX,2006,1.03,3.94,0.09,6.8
Micronesia (country),FSM,2006,0.94,0.71,0.09,3.5
Moldova,MDA,2006,3.9,1.88,1.91,17.4
Mongolia,MNG,2006,2.26,0.5,0.15,7.8
Montenegro,MNE,2006,2.3,0.02,2.85,11.5
Morocco,MAR,2006,0.07,0.22,0.29,0.7
Mozambique,MOZ,2006,0.58,0.51,0.09,2
Myanmar,MMR,2006,0.16,0.11,0,0.7
Namibia,NAM,2006,0.8,3.57,0.24,11.8
Nauru,NRU,2006,0,0.94,0.03,3
Nepal,NPL,2006,0.12,0.07,0,2.1
Netherlands,NLD,2006,1.59,4.77,3.43,9.6
New Zealand,NZL,2006,1.35,3.94,3.14,11.2
Nicaragua,NIC,2006,2.49,1.19,0.01,4.6
Niger,NER,2006,0.04,0.05,0.01,0.3
Nigeria,NGA,2006,0.02,0.6,0,11.3
Niue,NIU,2006,3,3.76,0.34,#N/A
North Korea,PRK,2006,3.09,0.19,0,4.4
Norway,NOR,2006,1.3,3.01,2.05,7
Oman,OMN,2006,0.35,0.22,0.01,0.9
Pakistan,PAK,2006,0.03,0,0,0.1
Panama,PAN,2006,1.72,3.8,0.18,7.7
Papua New Guinea,PNG,2006,0.02,0.61,0.02,3.1
Paraguay,PRY,2006,1.93,2.35,1.21,9.6
Peru,PER,2006,1.73,2.07,0.42,5.2
Philippines,PHL,2006,2.92,1.15,0.01,5.6
Poland,POL,2006,3.2,5.9,1.3,11.5
Portugal,PRT,2006,1.07,3.77,7.79,12.5
Qatar,QAT,2006,0.7,0.41,0.17,1.3
Romania,ROU,2006,0.9,4.62,2.99,12.9
Russia,RUS,2006,6.7,4.1,1,14.5
Rwanda,RWA,2006,0.02,0.63,0,10
Saint Kitts and Nevis,KNA,2006,6.24,3.96,0.35,7
Saint Lucia,LCA,2006,7.07,3.82,1.68,10.4
Saint Vincent and the Grenadines,VCT,2006,2.95,2.59,0.27,7.2
Samoa,WSM,2006,0.07,3.37,0.09,#N/A
Sao Tome and Principe,STP,2006,0.59,1.01,3.87,6.8
Saudi Arabia,SAU,2006,0.08,0,0,0.2
Senegal,SEN,2006,0.05,0.16,0.14,0.5
Serbia,SRB,2006,2.13,3.62,2.63,12.9
Seychelles,SYC,2006,1.23,4.59,2.3,6.7
Sierra Leone,SLE,2006,0.01,0.15,0.01,8.2
Singapore,SGP,2006,0.19,1.14,0.19,2.9
Slovakia,SVK,2006,4.3,3.82,2.15,12.5
Slovenia,SVN,2006,1.13,5.7,5.43,10.9
Solomon Islands,SLB,2006,0.03,0.93,0.02,1.6
Somalia,SOM,2006,0,0,0,0.5
South Africa,ZAF,2006,1.34,3.85,1.38,11.5
South Korea,KOR,2006,0.33,2.22,0.14,10.9
Spain,ESP,2006,3.28,5.15,3.2,10.6
Sri Lanka,LKA,2006,1.72,0.2,0,4.5
Sudan,SDN,2006,0.3,0.01,0,2.7
Suriname,SUR,2006,2.63,1.64,0.11,6.5
Swaziland,SWZ,2006,0.5,1.65,0.01,6.4
Sweden,SWE,2006,1,2.5,2.9,8.7
Switzerland,CHE,2006,1.9,3.21,5,10.4
Syria,SYR,2006,0.54,0.08,0.35,1.4
Tajikistan,TJK,2006,0.27,0.09,0.01,2.4
Tanzania,TZA,2006,0.15,0.64,0.01,8.1
Thailand,THA,2006,4.18,1.97,0.02,8.3
Timor,TLS,2006,0.01,0.01,0.02,1.2
Togo,TGO,2006,0.13,0.51,0.42,1.9
Tonga,TON,2006,0.83,0.87,0.09,2.1
Trinidad and Tobago,TTO,2006,2.91,3.21,0.1,6.6
Tunisia,TUN,2006,0.06,0.88,0.51,1.2
Turkey,TUR,2006,0.47,0.76,0.05,2.4
Turkmenistan,TKM,2006,1.24,0.27,1.2,5
Tuvalu,TUV,2006,0.37,0.85,0.15,1.3
Uganda,UGA,2006,0.18,0.55,0,10.5
Ukraine,UKR,2006,4.09,3.01,0.69,11.8
United Arab Emirates,ARE,2006,1.27,0.33,0.13,4.3
United Kingdom,GBR,2006,2.25,4.7,3.9,12
United States,USA,2006,2.69,4.54,1.4,9
Uruguay,URY,2006,0.9,1.49,4.19,7
Uzbekistan,UZB,2006,1.45,0.33,0.19,4.8
Vanuatu,VUT,2006,0.36,0.46,0.18,1.2
Venezuela,VEN,2006,1.74,6.35,0.14,8.3
Vietnam,VNM,2006,1.4,1.16,0.01,8.7
Yemen,YEM,2006,0,0.04,0,0.2
Zambia,ZMB,2006,0.3,0.45,0.02,4
Zimbabwe,ZWE,2006,0.38,1.09,0.01,4.8
Afghanistan,AFG,2005,0.01,0.01,0,1
Albania,ALB,2005,2.14,1.59,1.34,6.6
Algeria,DZA,2005,0.02,0.29,0.19,0.6
Andorra,AND,2005,2.94,3.64,5.42,9.1
Angola,AGO,2005,0.08,2.86,2.09,7.6
Antigua and Barbuda,ATG,2005,3.58,2.42,1.74,3.2
Argentina,ARG,2005,0.32,2.42,4.57,7.6
Armenia,ARM,2005,3.51,0.27,0.46,5.5
Australia,AUS,2005,1.21,4.62,3.53,12.6
Austria,AUT,2005,1.6,6.07,4.1,8.5
Azerbaijan,AZE,2005,0.4,0.3,0.03,2.1
Bahamas,BHS,2005,4.64,3.82,1.51,4.2
Bahrain,BHR,2005,1.31,0.54,0.19,2.4
Bangladesh,BGD,2005,0,0,0,0.2
Barbados,BRB,2005,3.81,3.22,0.75,6.5
Belarus,BLR,2005,4.21,1.47,0.62,17.1
Belgium,BEL,2005,1.98,6.07,4.22,10.8
Belize,BLZ,2005,2.1,3.96,0.14,8.3
Benin,BEN,2005,0.16,0.51,0.14,2.2
Bhutan,BTN,2005,0.36,0.36,0.01,1.1
Bolivia,BOL,2005,0.58,2.14,0.14,5.8
Bosnia and Herzegovina,BIH,2005,0.66,3.34,0.43,7.5
Botswana,BWA,2005,1.01,2.58,0.91,7.7
Brazil,BRA,2005,3.08,3.36,0.5,9.1
Brunei,BRN,2005,0.05,0.09,0.02,0.8
Bulgaria,BGR,2005,4.93,3.56,1.95,11.3
Burkina Faso,BFA,2005,0.43,0.44,0.09,7.4
Burundi,BDI,2005,0,1.19,0.01,9.8
Cambodia,KHM,2005,1.21,0.76,0.02,6.1
Cameroon,CMR,2005,0,2.1,0.08,7.7
Canada,CAN,2005,2,4.2,1.6,10.3
Cape Verde,CPV,2005,0.14,2.19,1.93,7.2
Central African Republic,CAF,2005,0.03,0.22,0.01,3.8
Chad,TCD,2005,0.02,0.24,0,4.4
Chile,CHL,2005,2.97,2.01,2.59,9.3
China,CHN,2005,1.67,1.2,0.05,7.6
Colombia,COL,2005,1.47,2.84,0.03,6.6
Comoros,COM,2005,0.06,0.15,0.02,0.2
Congo,COG,2005,0.26,1.54,0.23,3.9
Cook Islands,COK,2005,2.44,2.75,1.46,#N/A
Costa Rica,CRI,2005,1.61,2.28,0.17,5.1
Cote d'Ivoire,CIV,2005,0.05,0.66,0.24,6.5
Croatia,HRV,2005,1.27,4.85,5.1,11.7
Cuba,CUB,2005,2.92,1.48,0.05,5.5
Cyprus,CYP,2005,5,3.62,2.79,9.1
Czech Republic,CZE,2005,3.6,7.39,2.2,14.1
Democratic Republic of Congo,COD,2005,0.03,0.34,0.01,3.4
Denmark,DNK,2005,1.78,5.06,4.44,10.2
Djibouti,DJI,2005,0.94,0.21,0.08,0.9
Dominica,DMA,2005,6.69,0.5,0.86,6.6
Dominican Republic,DOM,2005,2.81,2.71,0.13,7.6
Ecuador,ECU,2005,1.57,1.92,0.04,6.1
Egypt,EGY,2005,0.05,0.09,0.02,0.3
El Salvador,SLV,2005,1.75,0.99,0.03,3.5
Equatorial Guinea,GNQ,2005,0,3.14,4.06,8.1
Eritrea,ERI,2005,0.02,0.62,0,1.4
Estonia,EST,2005,6.13,6.04,1.47,#N/A
Ethiopia,ETH,2005,0.05,0.25,0.01,4.3
Fiji,FJI,2005,0.58,1.42,0.02,3.2
Finland,FIN,2005,2.82,4.59,1.47,11.9
France,FRA,2005,2.6,2.3,7.1,11.6
Gabon,GAB,2005,1.51,5.33,0.85,11.8
Gambia,GMB,2005,0,0.23,0.05,3.2
Georgia,GEO,2005,1.91,0.78,2.01,6.7
Germany,DEU,2005,2.22,6.42,3.03,10.6
Ghana,GHA,2005,0.03,0.43,0.08,5.4
Greece,GRC,2005,2.26,2.21,5.31,9.3
Grenada,GRD,2005,4.36,3.87,0.4,10.4
Guatemala,GTM,2005,1.19,1.12,0.03,3.9
Guinea,GIN,2005,0.03,0.16,0.02,0.7
Guinea-Bissau,GNB,2005,0.53,0.43,0.6,4.3
Guyana,GUY,2005,5.99,1.33,0.01,8.6
Haiti,HTI,2005,5.55,0.01,0.01,5.9
Honduras,HND,2005,1.92,1.27,0.04,4
Hungary,HUN,2005,4.14,4.3,4.5,12.4
Iceland,ISL,2005,1.33,3.67,1.95,6.9
India,IND,2005,1.17,0.09,0.02,4.6
Indonesia,IDN,2005,0,0.06,0,0.6
Iran,IRN,2005,0.01,0,0,1
Iraq,IRQ,2005,0.03,0.15,0,0.5
Ireland,IRL,2005,2.5,6.99,2.62,10.9
Israel,ISR,2005,1.27,0.88,0.22,3.1
Italy,ITA,2005,1.07,1.73,5.85,6.1
Jamaica,JAM,2005,1.66,1.5,0.11,5.1
Japan,JPN,2005,3.37,1.72,0.29,7.5
Jordan,JOR,2005,0.36,0.16,0.02,0.7
Kazakhstan,KAZ,2005,4.54,1.92,0.48,8.2
Kenya,KEN,2005,0.46,0.84,0.02,4
Kiribati,KIR,2005,0.02,0.56,0.01,2.9
Kuwait,KWT,2005,0.01,0,0,0.1
Kyrgyzstan,KGZ,2005,2.08,0.64,0.08,3.9
Laos,LAO,2005,2.27,1.4,0,7.5
Latvia,LVA,2005,4.57,3.8,0.94,10.6
Lebanon,LBN,2005,0.75,0.41,0.77,2.2
Lesotho,LSO,2005,0.53,1.26,0,6.4
Liberia,LBR,2005,3.89,0.29,0,5.2
Libya,LBY,2005,0,0,0,0
Lithuania,LTU,2005,4.5,5.8,1.4,16.2
Luxembourg,LUX,2005,2.41,4.36,5.07,11.2
Macedonia,MKD,2005,0.55,0.85,0.36,5.7
Madagascar,MDG,2005,0.23,0.34,0.15,1.9
Malawi,MWI,2005,0.22,0.14,0.01,2.5
Malaysia,MYS,2005,0.08,0.38,0.01,1.7
Maldives,MDV,2005,0.77,0.4,0.31,1
Mali,MLI,2005,0,0.07,0,1
Malta,MLT,2005,1.47,1.7,2.96,7.2
Mauritania,MRT,2005,0.01,0,0,0.1
Mauritius,MUS,2005,1.66,1.96,0.31,4
Mexico,MEX,2005,0.98,3.81,0.09,6.8
Micronesia (country),FSM,2005,0.25,1.49,0.16,3.5
Moldova,MDA,2005,4.33,1.61,4.15,17.4
Mongolia,MNG,2005,2.4,0.3,0.05,7.8
Morocco,MAR,2005,0.06,0.23,0.17,0.7
Mozambique,MOZ,2005,0.6,0.51,0.09,2
Myanmar,MMR,2005,0.16,0.12,0,0.7
Namibia,NAM,2005,0.98,3.36,0.11,11.8
Nauru,NRU,2005,0,0.95,0.02,3
Nepal,NPL,2005,0.12,0.08,0,2.1
Netherlands,NLD,2005,1.59,4.78,3.31,9.6
New Zealand,NZL,2005,1.37,4.1,3.04,11.2
Nicaragua,NIC,2005,2.55,1.13,0.01,4.6
Niger,NER,2005,0.03,0.05,0.02,0.3
Nigeria,NGA,2005,0.02,0.54,0,11.3
Niue,NIU,2005,2.96,3.15,0.11,#N/A
North Korea,PRK,2005,3.02,0.2,0,4.4
Norway,NOR,2005,1.28,2.98,2,7
Oman,OMN,2005,0.4,0.21,0.01,0.9
Pakistan,PAK,2005,0.03,0,0,0.1
Panama,PAN,2005,1.77,3.59,0.15,7.7
Papua New Guinea,PNG,2005,0.01,0.81,0.02,3.1
Paraguay,PRY,2005,1.77,3.48,0.99,9.6
Peru,PER,2005,2.1,1.92,0.42,5.2
Philippines,PHL,2005,2.91,1.29,0.02,5.6
Poland,POL,2005,3,5.3,1.2,11.5
Portugal,PRT,2005,1.12,3.75,7.99,12.5
Qatar,QAT,2005,0.71,0.35,0.11,1.3
Romania,ROU,2005,1.28,4.07,2.33,12.9
Russia,RUS,2005,6.89,3.65,1.03,14.5
Rwanda,RWA,2005,0.02,0.54,0,10
Saint Kitts and Nevis,KNA,2005,5.73,3.85,0.23,7
Saint Lucia,LCA,2005,7.16,3.57,0.72,10.4
Saint Vincent and the Grenadines,VCT,2005,3.32,2.43,0.19,7.2
Samoa,WSM,2005,0.24,3.31,0.08,#N/A
Sao Tome and Principe,STP,2005,0.74,1.12,3.42,6.8
Saudi Arabia,SAU,2005,0.05,0,0,0.2
Senegal,SEN,2005,0.04,0.16,0.12,0.5
Serbia,SRB,2005,2.45,4.77,2.38,12.9
Seychelles,SYC,2005,1.59,5.21,1.03,6.7
Sierra Leone,SLE,2005,0.02,0.14,0.01,8.2
Singapore,SGP,2005,0.18,1.1,0.18,2.9
Slovakia,SVK,2005,5.41,3.84,1.56,12.5
Slovenia,SVN,2005,1.09,4.7,5.17,10.9
Solomon Islands,SLB,2005,0.21,0.66,0.03,1.6
Somalia,SOM,2005,0,0,0,0.5
South Africa,ZAF,2005,1.32,3.94,1.41,11.5
South Korea,KOR,2005,0.34,1.89,0.12,10.9
Spain,ESP,2005,3.27,4.98,3.44,10.6
Sri Lanka,LKA,2005,1.63,0.3,0,4.5
Sudan,SDN,2005,0.27,0,0,2.7
Suriname,SUR,2005,2.72,1.53,0.13,6.5
Swaziland,SWZ,2005,0.15,1.73,0.02,6.4
Sweden,SWE,2005,1,2.6,2.9,8.7
Switzerland,CHE,2005,1.79,3.11,5.14,10.4
Syria,SYR,2005,0.55,0.05,0.32,1.4
Tajikistan,TJK,2005,0.27,0.08,0.02,2.4
Tanzania,TZA,2005,0.15,0.56,0.01,8.1
Thailand,THA,2005,4.54,1.7,0.02,8.3
Timor,TLS,2005,0,0.34,0.02,1.2
Togo,TGO,2005,0.06,0.48,0.31,1.9
Tonga,TON,2005,0.41,0.88,0.28,2.1
Trinidad and Tobago,TTO,2005,2.72,3.15,0.13,6.6
Tunisia,TUN,2005,0.06,0.86,0.45,1.2
Turkey,TUR,2005,0.46,0.77,0.06,2.4
Turkmenistan,TKM,2005,1.26,0.22,1.37,5
Tuvalu,TUV,2005,0.23,0.54,0.17,1.3
Uganda,UGA,2005,0.18,0.5,0,10.5
Ukraine,UKR,2005,3.83,2.67,0.63,11.8
United Arab Emirates,ARE,2005,1.23,0.41,0.14,4.3
United Kingdom,GBR,2005,2.45,4.85,4.1,12
United States,USA,2005,2.65,4.5,1.36,9
Uruguay,URY,2005,0.77,1.35,4.23,7
Uzbekistan,UZB,2005,1.33,0.28,0.18,4.8
Vanuatu,VUT,2005,0.19,0.47,0.22,1.2
Venezuela,VEN,2005,1.63,6.15,0.11,8.3
Vietnam,VNM,2005,1.48,1.21,0.01,8.7
Yemen,YEM,2005,0,0.03,0,0.2
Zambia,ZMB,2005,0.27,0.43,0.01,4
Zimbabwe,ZWE,2005,0.06,0.96,0.01,4.8
Afghanistan,AFG,2004,0,0.02,0,1
Albania,ALB,2004,2.06,1.33,1.07,6.6
Algeria,DZA,2004,0.03,0.24,0.19,0.6
Andorra,AND,2004,2.84,3.37,5.95,9.1
Angola,AGO,2004,0.22,1.72,1.58,7.6
Antigua and Barbuda,ATG,2004,3.48,1.97,1.43,3.2
Argentina,ARG,2004,0.52,2.04,5.03,7.6
Armenia,ARM,2004,3.16,0.22,0.43,5.5
Australia,AUS,2004,1.2,4.57,3.13,12.6
Austria,AUT,2004,1.6,6.7,3.8,8.5
Azerbaijan,AZE,2004,0.35,0.25,0.02,2.1
Bahamas,BHS,2004,4.54,3.73,1.28,4.2
Bahrain,BHR,2004,1.38,0.55,0.21,2.4
Bangladesh,BGD,2004,0,0,0,0.2
Barbados,BRB,2004,3.8,2.98,0.68,6.5
Belarus,BLR,2004,3.63,1.33,0.22,17.1
Belgium,BEL,2004,1.84,5.95,4.26,10.8
Belize,BLZ,2004,2.08,3.98,0.12,8.3
Benin,BEN,2004,0.15,0.53,0.12,2.2
Bhutan,BTN,2004,0.34,0.62,0,1.1
Bolivia,BOL,2004,0.56,2,0.1,5.8
Bosnia and Herzegovina,BIH,2004,0.68,3.03,0.42,7.5
Botswana,BWA,2004,0,2.47,0.45,7.7
Brazil,BRA,2004,3.19,3.22,0.4,9.1
Brunei,BRN,2004,0.01,0.08,0.02,0.8
Bulgaria,BGR,2004,5.29,3.52,2.09,11.3
Burkina Faso,BFA,2004,0.17,0.42,0.1,7.4
Burundi,BDI,2004,0,1.19,0.01,9.8
Cambodia,KHM,2004,1.09,0.28,0.01,6.1
Cameroon,CMR,2004,0,2.41,0.08,7.7
Canada,CAN,2004,2.1,4.2,1.5,10.3
Cape Verde,CPV,2004,0.51,1.9,1.78,7.2
Central African Republic,CAF,2004,0.03,0.26,0.01,3.8
Chad,TCD,2004,0.02,0.23,0.01,4.4
Chile,CHL,2004,1.95,1.83,2.54,9.3
China,CHN,2004,1.75,1.11,0.18,7.6
Colombia,COL,2004,1.54,2.66,0.03,6.6
Comoros,COM,2004,0.08,0.13,0.05,0.2
Congo,COG,2004,0.54,1.72,0.32,3.9
Cook Islands,COK,2004,2.65,3.06,1.35,#N/A
Costa Rica,CRI,2004,1.69,2.23,0.14,5.1
Cote d'Ivoire,CIV,2004,0.04,0.63,0.33,6.5
Croatia,HRV,2004,1.31,4.94,6.5,11.7
Cuba,CUB,2004,2.8,1.52,0.05,5.5
Cyprus,CYP,2004,6.79,3.6,2.64,9.1
Czech Republic,CZE,2004,3.66,7.67,1.91,14.1
Democratic Republic of Congo,COD,2004,0.03,0.32,0.01,3.4
Denmark,DNK,2004,1.85,5.1,4.32,10.2
Djibouti,DJI,2004,0.86,0.24,0.07,0.9
Dominica,DMA,2004,7.03,0.88,0.73,6.6
Dominican Republic,DOM,2004,2.94,2.04,0.13,7.6
Ecuador,ECU,2004,1.77,1.81,0.05,6.1
Egypt,EGY,2004,0.05,0.08,0.02,0.3
El Salvador,SLV,2004,1.73,1.13,0.03,3.5
Equatorial Guinea,GNQ,2004,0,1.06,5.23,8.1
Eritrea,ERI,2004,0.02,0.53,0,1.4
Estonia,EST,2004,6.18,5.35,1.15,#N/A
Ethiopia,ETH,2004,0.04,0.22,0.01,4.3
Fiji,FJI,2004,0.16,1.44,0.02,3.2
Finland,FIN,2004,2.79,4.57,1.42,11.9
France,FRA,2004,2.67,2.24,8.1,11.6
Gabon,GAB,2004,2.24,4.87,0.99,11.8
Gambia,GMB,2004,0.07,0.25,0.05,3.2
Georgia,GEO,2004,1.87,0.59,1.27,6.7
Germany,DEU,2004,2.48,6.29,3.06,10.6
Ghana,GHA,2004,0.04,0.42,0.08,5.4
Greece,GRC,2004,2.25,2.22,4.91,9.3
Grenada,GRD,2004,4.38,3.62,0.28,10.4
Guatemala,GTM,2004,1.19,1.18,0.03,3.9
Guinea,GIN,2004,0.16,0.16,0.02,0.7
Guinea-Bissau,GNB,2004,0.53,0.4,0.51,4.3
Guyana,GUY,2004,6.46,1.33,0.02,8.6
Haiti,HTI,2004,6.08,0.01,0.01,5.9
Honduras,HND,2004,1.72,1.27,0.02,4
Hungary,HUN,2004,4.27,4.34,4.66,12.4
Iceland,ISL,2004,1.31,3.49,1.91,6.9
India,IND,2004,1.11,0.08,0.02,4.6
Indonesia,IDN,2004,0,0.05,0,0.6
Iran,IRN,2004,0.01,0,0,1
Iraq,IRQ,2004,0.02,0.3,0,0.5
Ireland,IRL,2004,2.48,7.1,2.57,10.9
Israel,ISR,2004,1.24,0.76,0.17,3.1
Italy,ITA,2004,1.07,1.72,6.19,6.1
Jamaica,JAM,2004,1.66,1.55,0.14,5.1
Japan,JPN,2004,3.42,1.75,0.31,7.5
Jordan,JOR,2004,0.37,0.15,0.01,0.7
Kazakhstan,KAZ,2004,4.62,1.52,0.4,8.2
Kenya,KEN,2004,0.49,0.65,0.02,4
Kiribati,KIR,2004,0.03,0.43,0,2.9
Kuwait,KWT,2004,0.01,0,0.01,0.1
Kyrgyzstan,KGZ,2004,2.7,0.59,0.11,3.9
Laos,LAO,2004,2.31,1.22,0,7.5
Latvia,LVA,2004,3.74,3.69,0.95,10.6
Lebanon,LBN,2004,0.82,0.45,0.82,2.2
Lesotho,LSO,2004,0,1.31,0,6.4
Liberia,LBR,2004,3.99,0.25,0,5.2
Libya,LBY,2004,0.01,0,0,0
Lithuania,LTU,2004,4.31,4.62,2.37,16.2
Luxembourg,LUX,2004,2.58,4.27,5.58,11.2
Macedonia,MKD,2004,0.7,0.98,0.39,5.7
Madagascar,MDG,2004,0.32,0.36,0.13,1.9
Malawi,MWI,2004,0.28,0.14,0.01,2.5
Malaysia,MYS,2004,0.08,0.41,0.01,1.7
Maldives,MDV,2004,0.68,0.56,0.36,1
Mali,MLI,2004,0.01,0.07,0,1
Malta,MLT,2004,1.42,1.86,3.01,7.2
Mauritania,MRT,2004,0.01,0,0,0.1
Mauritius,MUS,2004,1.87,1.99,0.3,4
Mexico,MEX,2004,1.03,3.71,0.11,6.8
Micronesia (country),FSM,2004,0.14,1.69,0.19,3.5
Moldova,MDA,2004,4.06,1.39,6.14,17.4
Mongolia,MNG,2004,0.51,0.53,0.71,7.8
Morocco,MAR,2004,0.06,0.23,0.28,0.7
Mozambique,MOZ,2004,0.91,0.49,0.08,2
Myanmar,MMR,2004,0.31,0.13,0,0.7
Namibia,NAM,2004,0.99,3.18,0.12,11.8
Nauru,NRU,2004,0,0.95,0.09,3
Nepal,NPL,2004,0.13,0.08,0,2.1
Netherlands,NLD,2004,1.66,4.8,3.1,9.6
New Zealand,NZL,2004,1.45,4.11,2.85,11.2
Nicaragua,NIC,2004,2.71,1.08,0.01,4.6
Niger,NER,2004,0.04,0.05,0.01,0.3
Nigeria,NGA,2004,0.01,0.52,0,11.3
Niue,NIU,2004,1.82,5.04,1.85,#N/A
North Korea,PRK,2004,2.93,0.19,0,4.4
Norway,NOR,2004,1.25,2.96,1.9,7
Oman,OMN,2004,0.39,0.21,0.01,0.9
Pakistan,PAK,2004,0,0,0,0.1
Panama,PAN,2004,1.85,3.6,0.22,7.7
Papua New Guinea,PNG,2004,0.02,0.56,0.01,3.1
Paraguay,PRY,2004,1.72,3.48,0.89,9.6
Peru,PER,2004,2.27,1.66,0.33,5.2
Philippines,PHL,2004,3.07,1.36,0.02,5.6
Poland,POL,2004,3.01,4.66,1.53,11.5
Portugal,PRT,2004,1.23,3.7,8.05,12.5
Qatar,QAT,2004,0.73,0.28,0.1,1.3
Romania,ROU,2004,1.29,4.24,4.29,12.9
Russia,RUS,2004,7.09,3.47,0.95,14.5
Rwanda,RWA,2004,0.03,0.45,0,10
Saint Kitts and Nevis,KNA,2004,5.23,3.39,0.32,7
Saint Lucia,LCA,2004,7.03,3.39,0.69,10.4
Saint Vincent and the Grenadines,VCT,2004,3.15,2.03,0.14,7.2
Samoa,WSM,2004,0.26,3.3,0.06,#N/A
Sao Tome and Principe,STP,2004,0.75,1.12,3.91,6.8
Saudi Arabia,SAU,2004,0.06,0,0,0.2
Senegal,SEN,2004,0.04,0.16,0.15,0.5
Serbia,SRB,2004,2.6,3.21,1.61,12.9
Seychelles,SYC,2004,1.54,5.18,1.19,6.7
Sierra Leone,SLE,2004,0.03,0.14,0.01,8.2
Singapore,SGP,2004,0.17,1.07,0.17,2.9
Slovakia,SVK,2004,4.23,3.99,1.33,12.5
Slovenia,SVN,2004,1.11,4.51,4.18,10.9
Solomon Islands,SLB,2004,0.41,0.75,0.02,1.6
Somalia,SOM,2004,0,0,0,0.5
South Africa,ZAF,2004,1.11,3.87,1.22,11.5
South Korea,KOR,2004,0.32,2,0.15,10.9
Spain,ESP,2004,3.02,4.5,3.8,10.6
Sri Lanka,LKA,2004,1.39,0.17,0,4.5
Sudan,SDN,2004,0.27,0,0,2.7
Suriname,SUR,2004,2.75,1.64,0.08,6.5
Swaziland,SWZ,2004,0.89,1.65,0.02,6.4
Sweden,SWE,2004,1.2,2.6,2.8,8.7
Switzerland,CHE,2004,1.92,3.24,5.27,10.4
Syria,SYR,2004,0.56,0.05,0.32,1.4
Tajikistan,TJK,2004,0.3,0.03,0.05,2.4
Tanzania,TZA,2004,0.12,0.51,0.01,8.1
Thailand,THA,2004,4.54,1.61,0.02,8.3
Timor,TLS,2004,0.01,0.35,0.02,1.2
Togo,TGO,2004,0.04,0.47,0.32,1.9
Tonga,TON,2004,0.43,0.89,0.3,2.1
Trinidad and Tobago,TTO,2004,2.64,2.96,0.13,6.6
Tunisia,TUN,2004,0.06,0.82,0.47,1.2
Turkey,TUR,2004,0.47,0.81,0.07,2.4
Turkmenistan,TKM,2004,1.25,0.19,1.42,5
Tuvalu,TUV,2004,1.75,0.04,0.04,1.3
Uganda,UGA,2004,0.2,0.43,0.01,10.5
Ukraine,UKR,2004,4.06,2.18,0.55,11.8
United Arab Emirates,ARE,2004,1.15,0.47,0.14,4.3
United Kingdom,GBR,2004,2.51,5.09,3.98,12
United States,USA,2004,2.57,4.58,1.32,9
Uruguay,URY,2004,0.68,1.1,3.88,7
Uzbekistan,UZB,2004,1.06,0.27,0.26,4.8
Vanuatu,VUT,2004,0.19,0.49,0.17,1.2
Venezuela,VEN,2004,1.52,5.93,0.07,8.3
Vietnam,VNM,2004,1.72,1.13,0.01,8.7
Yemen,YEM,2004,0.01,0.05,0,0.2
Zambia,ZMB,2004,0.27,0.48,0.03,4
Zimbabwe,ZWE,2004,0.19,1.14,0.2,4.8
